sno,parent,testobject,objType,how,what,comments
0,NA,NA,NA,NA,NA,this will be used in Steps which dont need a reference on Object Repository
1,HomePage,LeavingFrom,dropdown,xpath,//div[@id='flightSearchContainer']/div[@id='marketCityPair_1']/div[@class='row1']/div[@class='left1']/input,
2,HomePage,City_BLR,link,xpath,//a[@value='BLR'],
3,HomePage,City_DED,link,xpath,//div[@class='right1']//a[@value='DEL'],
4,HomePage,CurrentDate,link,css,div.ui-datepicker-group-first a.ui-state-highlight,
5,HomePage,OneWay,radioButton,xpath,//div[@id='flightSearchContainer']/div[@id='travelOptions']//input[@value='OneWay'],
6,HomePage,FindFlights,Button,xpath,//input[@value='Find Flights'],
1,HomePage,FlightBooking,Button,id,com.vl.spicejet:id/btn_flight_booking,
2,HomePage,MyBookings,Button,id,com.vl.spicejet:id/btn_my_booking,
3,HomePage,CheckIn,Button,id,com.vl.spicejet:id/btn_check_in,
4,HomePage,Deals,Button,id,com.vl.spicejet:id/btn_hot_deals,
5,HomePage,MenuButton,Button,xpath,//*[@resource-id='com.vl.spicejet:id/toolbar_actionbar']/*[@class='android.widget.ImageButton'],
6,Menu,MenuImage,Image,id,com.vl.spicejet:id/img_profile,
7,Menu,MenuOptionHome,Button,xpath,//android.widget.ImageView[@resource-id='com.vl.spicejet:id/img_left_nav'][1],
8,Flights,SearchFlights,Button,id,com.vl.spicejet:id/find_flights,
9,ManageBooking,RetrieveBooking,Button,id,com.vl.spicejet:id/Button_retriveBooking,
