testcase_id,Step,parent,testobject,stepaction,data,TestGroups,options
SpiceJet_User_Traversing,Given I Open the browser to go to default application,NA,NA,openbrowser,OnBoarding,"AndroidNative1, AndroidPhonePortraitNative, AndroidTabletPortraitNative, AndroidTabletLandscapeNative",
,verify FlightBooking Button is present,HomePageAndroidNative,FlightBooking,verifyObjectPresent,,,
,verify MyBooking Button is present,HomePageAndroidNative,MyBookings,verifyObjectPresent,,,
,verify Checkin Button is present,HomePageAndroidNative,CheckIn,verifyObjectPresent,,,
,verify Deals Button is present,HomePageAndroidNative,Deals,verifyObjectPresent,,,
,Click Menu Buuton,HomePageAndroidNative,MenuButton,clickObject,,,
,verify Menu Image is present,MenuAndroidNative,MenuImage,verifyObjectPresent,,,
,click Home Option,MenuAndroidNative,MenuOptionHome,clickObject,,,
,verify FlightBooking Button is present,HomePageAndroidNative,FlightBooking,verifyObjectPresent,,,
,click FlightBooking Button,HomePageAndroidNative,FlightBooking,clickObject,,,
,Veridy SearchFlights is present,FlightsAndroidNative,SearchFlights,verifyObjectPresent,,,
,Click Menu Buuton,HomePageAndroidNative,MenuButton,clickObject,,,
,click Home Option,MenuAndroidNative,MenuOptionHome,clickObject,,,
,click MyBooking Button,HomePageAndroidNative,MyBookings,clickObject,,,
,verify Retrieve Booking is present,ManageBookingAndroidNative,RetrieveBooking,verifyObjectPresent,,,
,close application,NA,NA,closeAllBrowsers,,,
