testcase_id,Step,parent,testobject,stepaction,data,TestGroups,options
SpiceJet_FindFlights_Desktop,Given I Open the browser to go to default application,NA,NA,openbrowser,,sanityDesktop,
,Ciick on One Way ,HomePage,OneWay,clickObject,,,
,Click on Leaving From Drop Down,HomePage,LeavingFrom,clickObject,,,
,Select Bangalore,HomePage,City_BLR,clickObject,,,
,wait,NA,NA,wait,1500#,,
,Select Delhi,HomePage,City_DED,clickObject,,,
,wait,NA,NA,wait,1500#,,
,"Enter Date as ""10"" April",HomePage,CurrentDate,clickObject,,,
,click on Find Flights,HomePage,FindFlights,clickObject,,,
,click on First Flex Price,FlightsPage,FirstFlexFlight,clickObject,,,
,Click on Continue Checkbox,FlightsPage,ContinueButtonCheckBox,clickObject,,,
,Click on Continue Button,FlightsPage,ContinueButton,clickObject,,,
,Uncheck Remember me,FlightsPage,RememberMeCheckBox,clickObject,,,
,enter username,FlightsPage,UserID,enterdata,919873842038#,,
,enter passowrd,FlightsPage,Password,enterdata,P@ssword123,,
,click login,FlightsPage,LogIn_Button,clickObject,,,
,verify FirstName,FlightsPage,FirstNameText,verifyObjectAttribute,value#Shankar,,
,Click on Continue Button,FlightsPage,ContactContinueButton,clickObject,,,
,click on I am Flying,FlightsPage,IamFlyingCheckBox,clickObject,,,
,Click on Continue Button,DetailsPage,ContinueButton,clickObject,,,
,click on Assign and Continue,SeatPage,ContinueButton,clickObject,,,
,check Confirm Payment Button,PaymentPage,ConfirmPayment,verifyObjectPresent,,,
,wait,NA,NA,wait,1500#,,
,close browser,NA,NA,closeAllBrowsers,,,
SpiceJet_FindFlights_MobileWeb,Given I Open the browser to go to default application,NA,NA,openbrowser,,sanityMobileWeb,
,Comntinue to Mobile Site,MobileHomePage,MobileSite,clickObject,,,
,wait,NA,NA,wait,1500#,,
,click on Login Button,MobileHomePage,LogIn,clickObject,,,
,Click on Member Login,MobileHomePage,MemberLogin,clickObject,,,
,enter UserId,MobileHomePage,UserID,enterdata,p.hemasundar,,
,Enter Password,MobileHomePage,PassWord,enterdata,12345678#,,
,Click Login Button,MobileHomePage,LogIn_Button,clickObject,,,
,Validate Error Message,MobileHomePage,VallidationMsg,verifytextpresent,The User ID you entered is not valid.,,
,wait,NA,NA,wait,2500#,,
,close browser,NA,NA,closeAllBrowsers,,,
SpiceJetScreenShot,Given I Open the browser to go to default application,NA,NA,openbrowser,,sanityScreeshot,
,verify if page is loaded,HomePage,OneWay,verifyObjectPresent,,,
,Cutting the required image from the webpage screenshot,HomePage,BackgroundImage,cutRequiredImage,BackGroundImage,,
,Comparing the images on the page,NA,NA,compareImages,BackGroundImage,,
